Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;A;HOMBRE;MESTIZO/A;NO DETERMINADO;OTROS;2023;enero;17;1701
ASESINATO;LOS RIOS;URDANETA;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;4:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1206
HOMICIDIO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;9:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1205
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;5:00;ARMA CONTUNDENTE;OTRO;HERIDAS CONTUSAS;33;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
ASESINATO;GUAYAS;NARANJITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;6:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;912
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;7:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1317
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;0:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;0:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;3;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;3:25;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;907
ASESINATO;MANABI;PORTOVIEJO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;5:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1301
ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;17:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;904
ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;904
ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;18:55;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1205
HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;CONJUNTO HABITACIONAL;PRIVADO;1/1/2023;22:10;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;63;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;12;1201
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;21:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;11:30;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;42;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
